taskid,beam,pass,s_in,s_out,rat,peak_mJy,peak_sig,rusc-,rusc+,D,N2,P2,Ex-2,Ex+2
190409015,0,False,47.6,38.0,1.25,185.4,4876.6,5.4,5.6,903.0,2.5,2.7,385.0,440.0
190409015,1,False,64.1,56.2,1.14,66.6,1185.5,3.9,5.4,304.0,1.8,2.0,208.0,256.0
190409015,2,True,45.0,40.8,1.1,32.0,784.1,3.5,5.2,224.0,1.6,1.8,138.0,202.0
190409015,3,True,44.7,39.4,1.13,18.3,465.2,3.6,5.3,129.0,1.7,2.0,166.0,248.0
190409015,4,True,41.2,36.1,1.14,61.8,1711.3,3.7,5.3,463.0,1.7,2.0,175.0,254.0
190409015,5,True,43.5,39.2,1.11,55.5,1415.5,4.1,5.6,345.0,1.6,2.0,157.0,244.0
190409015,6,True,33.9,29.7,1.14,17.9,603.2,3.8,5.5,159.0,1.8,2.1,215.0,307.0
190409015,7,True,38.7,34.6,1.12,85.1,2458.1,3.7,5.2,664.0,1.7,2.0,187.0,263.0
190409015,8,False,46.9,35.0,1.34,147.5,4210.7,7.2,5.7,585.0,3.2,3.4,606.0,655.0
190409015,9,True,35.9,30.9,1.16,50.7,1639.6,4.0,5.3,410.0,1.9,2.2,241.0,336.0
190409015,10,True,30.8,27.4,1.13,17.4,637.7,3.5,5.0,182.0,1.6,2.1,163.0,298.0
190409015,11,True,30.1,26.2,1.15,53.9,2061.9,3.7,5.4,557.0,1.8,2.2,223.0,341.0
190409015,12,True,31.3,27.8,1.13,53.2,1915.8,3.7,5.2,518.0,1.7,2.0,180.0,266.0
190409015,13,True,32.9,30.0,1.1,28.3,942.6,3.5,5.2,269.0,1.5,1.9,136.0,242.0
190409015,14,True,41.6,38.1,1.09,13.7,359.6,3.5,5.0,103.0,1.5,1.8,128.0,207.0
190409015,15,True,36.5,30.3,1.21,67.6,2231.5,4.9,5.5,455.0,2.3,2.5,358.0,403.0
190409015,16,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
190409015,17,True,30.6,26.4,1.16,160.6,6072.7,4.4,5.0,1380.0,1.9,2.2,241.0,345.0
190409015,18,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
190409015,19,True,31.4,27.8,1.13,43.8,1575.7,3.8,5.2,415.0,1.8,2.0,209.0,269.0
190409015,20,True,35.6,32.7,1.09,22.4,683.3,3.4,4.9,201.0,1.4,1.7,114.0,191.0
190409015,21,True,38.3,32.0,1.2,114.9,3586.9,5.6,5.4,641.0,2.2,2.4,340.0,401.0
190409015,22,True,31.9,27.6,1.16,22.1,803.1,3.9,5.3,206.0,1.8,2.3,231.0,356.0
190409015,23,True,28.9,26.2,1.1,13.5,514.1,3.5,5.2,147.0,1.5,2.0,148.0,266.0
190409015,24,True,30.7,25.6,1.2,62.5,2440.5,4.2,5.2,581.0,2.1,2.4,303.0,399.0
190409015,25,True,29.6,26.7,1.11,9.3,348.5,3.5,5.4,100.0,1.5,2.0,141.0,273.0
190409015,26,True,31.7,28.0,1.13,20.5,731.8,3.6,5.2,203.0,1.7,2.1,196.0,302.0
190409015,27,True,32.6,27.7,1.17,179.4,6474.0,4.7,5.1,1377.0,2.1,2.3,311.0,376.0
190409015,28,True,30.8,28.2,1.09,17.8,629.9,3.6,4.8,175.0,1.5,1.9,144.0,248.0
190409015,29,True,32.3,28.1,1.15,43.3,1540.3,3.8,6.2,405.0,1.8,2.2,218.0,339.0
190409015,30,True,30.1,26.4,1.14,32.4,1229.1,3.8,5.2,323.0,1.8,2.1,221.0,305.0
